method,accuracy,ned,confidence,sigma,ssim,tenengrad,contrast_pr,contrast_gain,delta_mu
baseline,0.19666666666666666,0.42370025413756063,0.4375205529074659,40.549640026403566,0.0,263719851.16,0.4045143790849673,0.0,0.0
HE,0.18333333333333332,0.4027824803908395,0.40194734204288146,73.71974854907562,0.6065121097270672,839690034.3066666,0.7993575163398693,0.394843137254902,31.469041997575708
CLAHE,0.17833333333333334,0.4090346896825225,0.41998165884873767,53.18732400225691,0.8268919214819191,495602264.4633333,0.5484104575163398,0.1438960784313725,17.458238270399047
RSWHE,0.19333333333333333,0.41332516609064596,0.41477840383541104,62.12555159722671,0.7968071394652111,559848421.3233334,0.6614640522875819,0.2569496732026145,8.134922031331739
CLAHE_MASK,0.2,0.42148021801040375,0.4258569479629866,43.17253378931254,0.969425262109605,311977389.80333334,0.42930784313725495,0.024793464052287554,2.302893073527905
RSWHE_MASK,0.19833333333333333,0.42196273222821207,0.4294747383340432,46.04640841001726,0.9643311832911085,323536072.0133333,0.4509202614379084,0.04640588235294114,2.795993392471663
