,mean_ned,mean_conf,mean_contrast_pr,mean_contrast_gain,mean_delta_mu
baseline,0.42370025413756063,0.4375205529074659,0.4045143790849674,0.0,0.0
HE,0.4027824803908395,0.40194734204288146,0.7993575163398693,0.394843137254902,31.469041997575708
CLAHE,0.4090346896825225,0.41998165884873767,0.5484104575163399,0.14389607843137256,17.458238270399047
RSWHE,0.41332516609064596,0.41477840383541104,0.6614640522875819,0.2569496732026145,8.134922031331739
CLAHE_MASK,0.42148021801040375,0.4258569479629866,0.42930784313725495,0.02479346405228756,2.302893073527905
RSWHE_MASK,0.42196273222821207,0.4294747383340432,0.4509202614379084,0.04640588235294116,2.795993392471663
